cookie,\ud83c\udf6a
milk,\ud83e\udd5b
milk,\ud83c\udf7c
coffee,\u2615\ufe0f
breakfast,\ud83c\udf75
sake,\ud83c\udf76
beer,\ud83c\udf7a
beers,\ud83c\udf7b
toast,\ud83e\udd42
wine,\ud83c\udf77
whisky,\ud83e\udd43
drink,\ud83c\udf78
vacation,\ud83c\udf79
celebration,\ud83c\udf7e
spoon,\ud83e\udd44
cutlery,\ud83c\udf74
dining,\ud83c\udf7d
sports,\u26bd\ufe0f
elipsis,\u2026
t,\u2019t
x,\u2018
m,\u2019m
a,\u2019re
